Comments,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
Taste super delicious too,0.0,0.208,0.792,0.8225,positive
Wow,0.0,0.0,1.0,0.5859,positive
The non-sticky texture of Golden Penny Macaroni is so good!,0.0,0.691,0.309,0.6166,positive
Very delicious,0.0,0.2,0.8,0.6115,positive
After eating Macaroni I sleep very well.,0.0,0.715,0.285,0.3384,neutral
Non sticky texture,0.0,1.0,0.0,0.0,neutral
This delicious,0.0,0.213,0.787,0.5719,positive
Delicious!,0.0,0.0,1.0,0.6114,positive
That's my favorites than spaghetti,0.0,0.588,0.412,0.4215,neutral
My favorite,0.0,0.25,0.75,0.4588,neutral
Lovely,0.0,0.0,1.0,0.5859,positive
Bring it to our local market,0.0,1.0,0.0,0.0,neutral
Need more pasta,0.0,1.0,0.0,0.0,neutral
Pls  how is cous cous been prepared,0.0,0.61,0.39,0.296,neutral
I love yummy yummy dishes pizza paa kilode,0.0,0.312,0.688,0.9001,positive
Yummy love this method of cooking,0.0,0.345,0.655,0.8225,positive
Nice one anyway,0.0,0.417,0.583,0.4215,neutral
Yummy,0.0,0.0,1.0,0.5267,positive
I can't find it in market any more,0.0,1.0,0.0,0.0,neutral
Easy to cock,0.291,0.182,0.527,0.3182,neutral
yummy,0.0,0.0,1.0,0.5267,positive
Yes I love golden penny spaghetti ,0.0,0.367,0.633,0.7845,positive
Like,0.0,0.0,1.0,0.3612,neutral
Best pasta,0.0,0.192,0.808,0.6369,positive
Golden Penny Spaghetti is the best,0.0,0.543,0.457,0.6369,positive
Yes my dear you are right,0.0,0.43,0.57,0.6486,positive
"Golden Penny is the best pasta ,it doesn't clog and tastes great, unfortunately it is becoming scarce in Gombe where I'm staying.",0.081,0.64,0.279,0.7845,positive
Am imagining it already and it's really delicious,0.0,0.637,0.363,0.6115,positive
I love golden penny spaghetti,0.0,0.488,0.512,0.6369,positive
Yes so,0.0,0.27,0.73,0.4019,neutral
I have oo,0.0,1.0,0.0,0.0,neutral
Yes so with golden penny,0.0,0.597,0.403,0.4019,neutral
The best pasta,0.0,0.323,0.677,0.6369,positive
The best of all,0.0,0.417,0.583,0.6369,positive
Yeah my favorite,0.0,0.161,0.839,0.6369,positive
Can't get enough,0.0,1.0,0.0,0.0,neutral
Yes,0.0,0.0,1.0,0.4019,neutral
Golden penny bringing out delicious taste,0.0,0.575,0.425,0.5719,positive
The only spaghetti wey get vibe.,0.0,1.0,0.0,0.0,neutral
Hw much is the price per caton,0.0,1.0,0.0,0.0,neutral
Golden penny,0.0,1.0,0.0,0.0,neutral
Golden penny my favorite among all,0.0,0.625,0.375,0.4588,neutral
Music Chef Loves This,0.0,0.448,0.552,0.5719,positive
Delicious,0.0,0.0,1.0,0.5719,positive
"Honestly, I'm drooling just looking at this!",0.0,0.646,0.354,0.5093,positive
After you na' you golden penny,0.0,1.0,0.0,0.0,neutral
Not now but I have,0.0,1.0,0.0,0.0,neutral
Not yet,0.0,1.0,0.0,0.0,neutral
Golden penny my one and only favorite among all,0.0,0.727,0.273,0.4588,neutral
Yes ..oooooooh,0.0,0.27,0.73,0.4019,neutral
Yes ooooo,0.0,0.27,0.73,0.4019,neutral
Always my chioce,0.0,1.0,0.0,0.0,neutral
Very. Very. . good,0.0,0.466,0.534,0.5334,positive
Yes oooo,0.0,0.27,0.73,0.4019,neutral
I want oo,0.0,0.606,0.394,0.0772,neutral
Nice,0.0,0.0,1.0,0.4215,neutral
"The feeling I do get whenever I cooked Spaghetti is that feeling of being a chef in my own kitchen, I play with my spaghetti using veggies and proteins to give that inviting and eye catching presentation which helps to nourish my children. They always …",0.0,0.799,0.201,0.8074,positive
Very nice pasta,0.0,0.393,0.607,0.4754,neutral
Nice taste and yummy,0.0,0.244,0.756,0.7351,positive
Love,0.0,0.0,1.0,0.6369,positive
I really love it,0.0,0.4,0.6,0.6697,positive
Fulfilled,0.0,0.0,1.0,0.4215,neutral
Nice taste,0.0,0.263,0.737,0.4215,neutral
The feeling of want to have more n more n more n more n more n moreeeee,0.0,0.843,0.157,0.2023,neutral
Best spaghetti so far,0.0,0.417,0.583,0.6369,positive
Relaxation feelings,0.0,0.227,0.773,0.5267,positive
Very Delicious,0.0,0.2,0.8,0.6115,positive
Lalalala so tasty I want more of it,0.0,0.817,0.183,0.144,neutral
